title,hotmajor,school_url,Timerank,QSrank,IELTS_grade
贝德福特大学,酒店，休闲，娱乐和旅游 社会工作 体育科学 通信及传媒研究 教育 护理,https://www.51offer.com/school/Bedfordshire.html,121,,97500-11250英镑/学年
伦敦卫生与热带医学院,,https://www.51offer.com/school/Hygiene-and-Tropical-Medicine.html,,,1899年
皇家艺术学院,,https://www.51offer.com/school/RCA.html,,,6.5~7.0
伦敦南岸大学,影像学 一般工程 化学工程 建造学 酒店，休闲，娱乐和旅游 社会工作,https://www.51offer.com/school/London-South-Bank.html,120,,1892
切斯特大学,酒店，休闲，娱乐和旅游 体育科学 神学和宗教研究 营养学 考古学 教育,https://www.51offer.com/school/Chester.html,81,,6.0~6.5
哥比亚大学,影像学 农业与林业学 法律 神学和宗教研究 医学和相关学 物理治疗学,https://www.51offer.com/school/Cumbria.html,119,,10500-15500英镑/学年
格鲁斯特大学,城镇和农村的规划和设计 会计和金融 酒店，休闲，娱乐和旅游 教育 音乐 神学和宗教研究,https://www.51offer.com/school/Gloucestershire.html,71,,5.5~6.0
牛津布鲁克斯大学,东亚和南亚研究 物理治疗学 建造学 酒店，休闲，娱乐和旅游 人类学 通信及传媒研究,https://www.51offer.com/school/Oxford-Brookes.html,69,359,11000-14220英镑/学年
伍尔弗汉普顿大学,,https://www.51offer.com/school/Wolverhampton.html,,,10700-11835英镑/学年
阿尔斯特大学,土地及物业管理 凯尔特研究 护理 营养学 建造学 一般工程,https://www.51offer.com/school/Ulster.html,68,647,4.5~6.0
伦敦城市大学,航空和制造工程学 会计和金融 商科 音乐 医学和相关学 影像学,https://www.51offer.com/school/City.html,50,314,6.0~6.5
格拉斯哥喀里多尼亚大学,建造学 物理治疗学 影像学 一般工程 社会工作 医学和相关学,https://www.51offer.com/school/GCU.html,99,,10200-16800英镑/学年
爱丁堡玛格丽特皇后学院,影像学 护理 酒店，休闲，娱乐和旅游 通信及传媒研究 医学和相关学 物理治疗学,https://www.51offer.com/school/Queen-Margaret.html,101,,10700-15990英镑/学年
桑德兰大学,酒店，休闲，娱乐和旅游 药物学和药剂 计算机科学 机械工程 体育科学 通信及传媒研究,https://www.51offer.com/school/Sunderland.html,100,,10000英镑/学年
伯明翰大学学院,,https://www.51offer.com/school/UCB.html,,,9300-11000英镑/学年
伯贝克学院,,https://www.51offer.com/school/BBK.html,,,1823年
奥塔哥理工学院,,https://www.51offer.com/school/-.html,,,
兰卡斯特大学,会计和金融 商科 通信及传媒研究 语言学 社会工作 神学和宗教研究,https://www.51offer.com/school/Lancaster.html,9,129,6.0~6.5
索尔福德大学,建造学 酒店，休闲，娱乐和旅游 意大利语 语言学 社会政策 物理治疗学,https://www.51offer.com/school/Salford.html,98,898,4.5~6.5
格拉斯哥美术学院,,https://www.51offer.com/school/GSA.html,,,6
剑桥视觉及表演艺术学校,,https://www.51offer.com/school/CSVPA.html,,,18000-19950英镑/学年
圣大卫三一学院,,https://www.51offer.com/school/Trinity-St-Davids.html,,,4.5~6.5
中央演讲与戏剧学院,,https://www.51offer.com/school/CSSD.html,,,12095-19693英镑/学年
英国皇家兽医学院,,https://www.51offer.com/school/RVC.html,,,1791年
彼得伯勒地区学院,,https://www.51offer.com/school/PRC.html,,,1885
埃克塞特大学,一般工程 材料技术 经济学 酒店，休闲，娱乐和旅游 体育科学 考古学,https://www.51offer.com/school/Exeter.html,9,164,6.5~7.5
伦敦政治经济学院,会计和金融 经济学 商科 人类学 历史 法律,https://www.51offer.com/school/LSE.html,8,37,7.0~7.5
华威大学,土木工程 一般工程 会计和金融 经济学 商科 美国研究,https://www.51offer.com/school/Warwick.html,7,51,15820-16660英镑/学年
圣安德鲁斯大学,计算机科学 商科 人类学 经典和古代历史 英语 法语,https://www.51offer.com/school/St-Andrews.html,3,77,7
剑桥大学,航空和制造工程学 化学工程 土木工程 计算机科学 电气及电子工程 一般工程,https://www.51offer.com/school/Cambridge.html,1,4,7.5
伦敦大学学院,建造学 经济学 人类学 考古学 经典和古代历史 英语,https://www.51offer.com/school/UCL.html,6,7,6.0~7.5
帝国理工学院,航空和制造工程学 化学工程 土木工程 计算机科学 电气及电子工程 一般工程,https://www.51offer.com/school/IC.html,5,9,6.5
布里斯托大学,航空和制造工程学 土木工程 计算机科学 电气及电子工程 机械工程 经典和古代历史,https://www.51offer.com/school/Bristol.html,19,41,6.5~7.0
牛津大学,计算机科学 一般工程 材料技术 经济学 商科 人类学,https://www.51offer.com/school/Oxford.html,2,6,12700-52000英镑/学年
诺丁汉大学,建造学 一般工程 经济学 美国研究 考古学 东亚和南亚研究,https://www.51offer.com/school/Nottingham.html,20,75,6.5~7.0
约克大学,考古学 教育 英语 历史 语言学 音乐,https://www.51offer.com/school/York.html,17,127,6.5~7.5
萨塞克斯大学,美国研究 人类学 社会工作 建筑与设计学 通信及传媒研究 哲学,https://www.51offer.com/school/Sussex.html,18,187,5.0~7.0
杜伦大学,一般工程 会计和金融 体育科学 人类学 考古学 经典和古代历史,https://www.51offer.com/school/Durham.html,4,74,6.5~7.0
东英格利亚大学,美国研究 通信及传媒研究 教育 药物学和药剂 建筑与设计学 地理和环境科学,https://www.51offer.com/school/UEA.html,15,252,5.5~6.5
萨里大学,航空和制造工程学 化学工程 土木工程 电气及电子工程 机械工程 经济学,https://www.51offer.com/school/Surrey.html,14,261,6.0~6.5
利兹大学,航空和制造工程学 化学工程 电气及电子工程 机械工程 会计和金融 商科,https://www.51offer.com/school/Leeds.html,13,93,5.5~7.0
巴斯大学,航空和制造工程学 化学工程 土木工程 计算机科学 电气及电子工程 机械工程,https://www.51offer.com/school/Bath.html,12,159,6.0~6.5
伯明翰大学,化学工程 计算机科学 材料技术 酒店，休闲，娱乐和旅游 体育科学 美国研究,https://www.51offer.com/school/Birmingham.html,16,82,6.0~7.0
拉夫堡大学,航空和制造工程学 建造学 化学工程 材料技术 机械工程 商科,https://www.51offer.com/school/Loughborough.html,11,237,14300-18250英镑/学年
埃塞克斯大学,语言学 政治 电气及电子工程 经济学 美国研究 哲学,https://www.51offer.com/school/Essex.html,30,330,1965
格拉斯哥大学,计算机科学 电气及电子工程 体育科学 经典和古代历史 教育 法律,https://www.51offer.com/school/Glasgow.html,29,63,6.0~6.5
贝尔法斯特女王大学,会计和金融 土地及物业管理 凯尔特研究 法律 音乐 解剖与生理学,https://www.51offer.com/school/QUB.html,26,195,13280-33170英镑/学年
邓迪大学,解剖与生理学 牙科 药物学和药剂 土木工程 考古学 教育,https://www.51offer.com/school/Dundee.html,28,244,6.0~6.5
伦敦大学国王学院,经典和古代历史 通信及传媒研究 法语 音乐 哲学 解剖与生理学,https://www.51offer.com/school/KCL.html,27,21,15200-36050英镑/学年
肯特大学,体育科学 美国研究 法律 社会政策 社会工作 社会学,https://www.51offer.com/school/Kent.html,23,366,1965年
莱斯特大学,美国研究 伊比利亚语 社会政策 计算机科学 一般工程 经济学,https://www.51offer.com/school/Leicester.html,25,239,6.0~6.5
纽卡斯尔大学,航空和制造工程学 土木工程 考古学 英语 法语 德语,https://www.51offer.com/school/Newcastle.html,22,168,15635-25180英镑/学年
南安普顿大学,航空和制造工程学 土木工程 计算机科学 电气及电子工程 通信及传媒研究 法语,https://www.51offer.com/school/Southampton.html,21,87,5.5~7.0
谢菲尔德大学,航空和制造工程学 化学工程 土木工程 材料技术 机械工程 图书馆和信息管理,https://www.51offer.com/school/Sheffield.html,24,84,6.5~7.0
伦敦玛丽女王大学,材料技术 会计和金融 经济学 法律 牙科 医学,https://www.51offer.com/school/QMUL.html,40,123,5.0~7.0
赫瑞瓦特大学,建造学 化学工程 城镇和农村的规划和设计 营养学 数学 土木工程,https://www.51offer.com/school/Heriot-Watt.html,37,327,5.5~6.5
爱丁堡大学,计算机科学 体育科学 东亚和南亚研究 语言学 中东和非洲研究 社会工作,https://www.51offer.com/school/Edinburgh.html,37,19,5.5~7.0
伦敦大学亚非学院,人类学 东亚和南亚研究 中东和非洲研究 商科 历史 语言学,https://www.51offer.com/school/SOAS.html,35,252,5.5~7.0
哈珀亚当斯大学学院,农业与林业学 机械工程 营养学,https://www.51offer.com/school/Harper-Adams.html,36,,10000-17500英镑/学年
